bill_code,name,category_id,tax_id,mrp,selling_price,cost_price,landing_cost,stock_qty
1,Aspa P.O red,PAINT,28,380,360,360,360,-13
3,Aspa Golden yellow,PAINT,28,370,330,330,330,-4
2,Aspa black,PAINT,28,320,250,250,250,8
4,Aspa White,PAINT,28,350,310,310,310,16
5,Aspa Imp maroon,PAINT,28,390,330,330,330,10
6,Aspa Mahendra Red,PAINT,28,390,330,330,330,9
7,Aspa Mahendra Grey,PAINT,28,360,300,300,300,8
8,Aspa Godrej Red,PAINT,28,390,330,330,330,9
300,N C White,PAINT,28,390,310,310,310,16
301,N C Black,PAINT,28,390,300,300,300,18
302,N C P.O.Red,PAINT,28,390,330,330,330,16
303,N C Imp maroon,PAINT,28,390,330,330,330,16
304,N C Teak,PAINT,28,390,310,310,310,12
305,NC Aluminium,PAINT,28,360,310,310,310,11
306,NC Mahindra Grey,PAINT,28,360,310,310,310,15
307,NC PS White,Body refinishers,28,261,250,250,250,3
308,NC PS Black,Body refinishers,28,260,240,240,240,4
309,NC Cherry,PAINT,28,360,330,330,330,12
310,NC Putty,Body refinishers,28,90,75,140,140,4
310,NC Putty,Body refinishers,28,160,140,140,140,4
311,NC PS Grey,Body refinishers,28,290,250,250,250,2
312,NC Matt Black,PAINT,28,310,280,280,280,12
313,Oil Primer,PAINT,28,250,190,190,190,5
12,AS Black 500ml,PAINT,28,190,150,1510,1510,11.5
13,AS White 500ml,PAINT,28,190,160,160,160,12
14,AS Golden Yellow 500ml,PAINT,28,210,170,170,170,12
15,AS Clear 500ml,PAINT,28,200,160,160,160,6
702,PU SS Clear 500ml,Body refinishers,28,317,310,310,310,6
701,PU SS Clear ,Body refinishers,28,610,570,570,570,8
17,AS Black 200ml,PAINT,28,75,70,70,70,12
18,AS Clear 200ml,Body refinishers,28,75,60,60,60,12
703,PU SS Clear 200ml,Body refinishers,28,151,140,140,140,-188
314,NC Black 500ml,PAINT,28,168,160,160,160,6
315,NC White 500ml,PAINT,28,164,160,160,160,12
317,NC PS White 500ml,Body refinishers,28,141,130,130,130,12
316,NC PS Grey 500ml,Body refinishers,28,130,125,125,125,12
318,NC PS Black 500ml,Body refinishers,28,130,125,125,125,12
321,Oil Primer brown 500ml,Body refinishers,28,111,100,100,100,12
319,NC Aluminium 500ml,PAINT,28,160,150,150,150,15
320,NC Matt blk 500ml,PAINT,28,155,140,140,140,12
322,NC PS White 200ml,Body refinishers,28,60,50,50,50,10
323,NC PS Black 200ml,Body refinishers,28,60,50,50,50,12
324,NC PS Grey 200ml,Body refinishers,28,60,50,50,50,12
325,Oil Primer Brown 200ml,Body refinishers,28,60,50,50,50,12
326,NC Black 200ml,PAINT,28,90,80,80,80,12
328,NC White 200ml ,PAINT,28,90,80,80,80,12
30,AS Superior White,PAINT,28,360,340,340,340,12
31,AS Autostar black,PAINT,28,340,280,280,280,12
32,AS Autostar White,PAINT,28,360,340,340,340,12
33,Autostar Tata cream,PAINT,28,370,340,340,340,6
34,Oil primer ICI ,Body refinishers,28,290,255,255,255,12
35,AS Autostar milkywhite,PAINT,28,360,340,340,340,12
705,Crest PU white,PAINT,28,660,640,640,640,10
706,Crest PU black,PAINT,28,660,640,640,640,12
704,Crest PU Clear,Body refinishers,28,660,640,640,640,12
660,Wanda Clear,Body refinishers,28,560,500,500,500,6
101,AS Met spcl Honda Red ,PAINT,28,460,380,380,380,12
103,AS Met Fern,PAINT,28,420,360,360,360,6
102,AS Met Golden Yellow,PAINT,28,420,380,380,380,6
104,AS Met Cavern Red,PAINT,28,420,380,380,380,6
105,AS Met Platinum Grey,PAINT,28,390,360,360,360,6
40,AS Ape Blue,PAINT,28,360,320,320,320,8
41,AS Ape Green,PAINT,28,360,320,320,320,8
42,AS Olive Green ,PAINT,28,350,310,310,310,6
43,AS Mint Green,PAINT,28,360,310,310,310,6
44,AS Tata Magic Green,PAINT,28,360,310,310,310,6
45,AS Tourister Blue,PAINT,28,360,310,310,310,6
46,AS Maximo Green ,PAINT,28,360,310,310,310,6
47,AS Wild Purple,PAINT,28,365,320,320,320,6
48,AS Dost Cream,PAINT,28,360,310,310,310,6
49,AS Dost Ivory,PAINT,28,360,310,310,310,6
50,AS Dost Blue,PAINT,28,360,310,310,310,6
51,AS Aspa Silver,PAINT,28,360,320,320,320,6
52,AS Maximo Orange,PAINT,28,380,330,330,330,6
53,AS Tata Magic Red,PAINT,28,360,330,330,330,6
54,AS Clear,Body refinishers,28,360,300,300,300,6
19,AS Aluminium 200,PAINT,28,90,80,80,80,6
350,NC Wild purple,PAINT,28,360,320,320,320,6
351,NC Autolac Cherry ,PAINT,28,340,320,320,320,6
352,NC Mahagony ,PAINT,28,360,320,320,320,12
353,NC Rosewood,PAINT,28,370,330,330,330,12
354,NC Dark Rosewood,PAINT,28,370,330,330,330,12
401,NC Met Spcl Gold,PAINT,28,420,380,380,380,12
402,NC Met Golden Yellow,PAINT,28,420,380,380,380,12
355,NC Flowering Blue,PAINT,28,380,330,330,330,12
356,NC Deepsky Blue,PAINT,28,380,330,330,330,12
357,NC Parrot Green,PAINT,28,380,330,330,330,12
358,NC Magic Green,PAINT,28,380,330,330,330,12
403,NC Met Pearl White,PAINT,28,1200,1050,1050,1050,6
404,NC Met Pearl Pink,PAINT,28,1200,1050,1050,1050,8
359,NC Deep Orange,PAINT,28,380,330,330,330,12
360,NC Pink,PAINT,28,520,480,480,480,12
361,NC Red Purple,PAINT,28,380,330,330,330,12
362,NC Vetri Spcl Red,PAINT,28,380,330,330,330,12
405,NC Met Fern,PAINT,28,420,380,380,380,12
406,NC Met Silver ,PAINT,28,390,360,360,360,12
60,AS Tata Mint White,PAINT,28,380,320,320,320,12
110,AS Met Silver,PAINT,28,420,380,380,380,12
111,AS Honda RedQ,PAINT,28,420,380,380,380,12
112,AS Met Platinum Black ,PAINT,28,420,370,370,370,12
113,AS Jade Green,PAINT,28,420,370,370,370,12
114,AS Met Syprus Blue ,PAINT,28,420,380,380,380,12
116,AS Met Sandalwood,PAINT,28,420,380,380,380,12
115,AS Met California Gold,PAINT,28,420,380,380,380,12
117,AS Met Peacock Green,PAINT,28,420,380,380,380,12
61,AS Apple Red,PAINT,28,380,330,330,330,12
365,NC Apple Red ,PAINT,28,380,320,320,320,12
366,NC Phenix Red,PAINT,28,380,330,330,330,12
367,NC Germen Red,PAINT,28,380,330,330,330,12
368,NC Teak ,PAINT,28,520,480,480,480,12
369,NC Golden Brown,PAINT,28,350,310,310,310,12
370,NC Oxford Blue ,PAINT,28,350,310,310,310,12
371,NC Racing Blue,PAINT,28,350,310,310,310,12
372,NC Neptune Blue,PAINT,28,350,310,310,310,12
373,Red Oxide,PAINT,28,350,320,320,320,10
378,NC Passion Yellow ,PAINT,28,350,320,320,320,12
374,NC Milky White,PAINT,28,350,310,310,310,12
375,NC Deep Orange SL,PAINT,28,350,320,320,320,12
376,NC Dawn Glow ,PAINT,28,350,320,320,320,12
377,NC Auto xing Aluminium,PAINT,28,320,300,300,300,12
410,NC Met Honda Red,PAINT,28,420,380,380,380,12
411,NC Met Rivera Red,PAINT,28,420,380,380,380,12
412,NC Met Silver SL,PAINT,28,420,380,380,380,12
413,NC Met 1CO Silver ,PAINT,28,420,380,380,380,12
414,NC Met New wine Red,PAINT,28,420,380,380,380,12
415,NC Met Peacock Green,PAINT,28,420,380,380,380,12
416,NC Met Comet Blue,PAINT,28,420,380,380,380,12
417,NC Met Syprus Blue,PAINT,28,420,380,380,380,12
418,NC Met Henna Green,PAINT,28,420,380,380,380,12
419,NC Met Exotic Green,PAINT,28,420,380,380,380,12
420,NC Met Jade Green,PAINT,28,420,380,380,380,12
421,NC Met New Green,PAINT,28,420,380,380,380,12
422,NC Met New Blue,PAINT,28,360,300,300,300,12
423,NC Met FB Violet,PAINT,28,360,300,300,300,12
424,NC Met FB Pink,PAINT,28,360,300,300,300,12
425,NC Met Gold Tuner,PAINT,28,360,300,300,300,12
426,NC Met FB Cherry,PAINT,28,360,300,300,300,12
427,NC Met Gold Coin,PAINT,28,420,380,380,380,12
428,NC Met Sandalwood,PAINT,28,420,380,380,380,12
429,NC Met Platinum Black,PAINT,28,420,380,380,380,12
430,NC Met California Gold,PAINT,28,420,380,380,380,12
431,NC Met Kinetic Blue,PAINT,28,420,380,380,380,12
432,NC Met Beam Blue,PAINT,28,420,380,380,380,12
433,NC Met H.P Grey,PAINT,28,400,360,360,360,12
434,NC Met Azure Grey,PAINT,28,420,380,380,380,12
70,AS White 555,PAINT,28,320,300,300,300,12
71,AS Diamond White 555,PAINT,28,350,320,320,320,12
72,AS Golden Brown 555,PAINT,28,350,320,320,320,12
73,AS CNG Yellow,PAINT,28,350,320,320,320,12
74,AS Man Yellow 555,PAINT,28,330,300,300,300,12
75,AS Smoke Grey 555 ,PAINT,28,330,300,300,300,12
76,AS Royal Pink 555,PAINT,28,490,460,460,460,12
77,AS Tata Ace Green 555,PAINT,28,360,320,320,320,12
78,AS Tata Blue 555,PAINT,28,350,310,310,310,12
79,AS Royal Ivory 555,PAINT,28,350,320,320,320,12
80,AS Leyland Green 555,PAINT,28,350,320,320,320,12
81,AS Cherry 555,PAINT,28,360,330,330,330,12
82,AS Teak 555,PAINT,28,350,320,320,320,12
83,AS Leyland Blue 555,PAINT,28,360,320,320,320,12
84,AS Golden Yellow 555,PAINT,28,360,310,310,310,12
85,AS Passion Yellow 555,PAINT,28,350,310,310,310,12
86,AS Oasis Green 555,PAINT,28,320,300,300,300,12
87,AS Maximo Orange 555,PAINT,28,350,330,330,330,12
88,AS Blue Moon 555,PAINT,28,320,300,300,300,12
89,AS Warm Grey 555,PAINT,28,320,300,300,300,12
90,AS D.A Grey 555,PAINT,28,320,300,300,300,12
91,AS Silver Grey 555 ,PAINT,28,320,300,300,300,12
92,AS Ape Blue 555,PAINT,28,350,320,320,320,12
200,E.White.add,PAINT,28,300,290,290,290,6
201,E.Black.Add,PAINT,28,260,250,250,250,6
202,E.Red. Add,PAINT,28,300,290,290,290,6
203,E.Brown.Add,PAINT,28,300,290,290,290,6
204,E.Bus green.Add,PAINT,28,260,250,250,250,6
205,E.Pheroize Blue.Add,PAINT,28,260,250,250,250,6
206,E.Opalin Green.Add,PAINT,28,260,250,250,250,6
207,E.Olive Green.Add,PAINT,28,260,250,250,250,6
208,E.Nickel Grey.Add,PAINT,28,260,250,250,250,6
451,NC Miliky white Tara,PAINT,28,350,310,310,310,6
450,NC White Tara,PAINT,28,335,310,310,310,6
452,NC Silver Tara,PAINT,28,340,320,320,320,6
453,NC Royal Ivory Tara,PAINT,28,340,320,320,320,6
454,NC Lemon yellow Tara,PAINT,28,340,320,320,320,6
455,NC German Red Tara,PAINT,28,350,320,320,320,6
456,NC Teak Tara,PAINT,28,340,320,320,320,6
1003,2K Kapci Hardner,Body refinishers,28,1210,1200,1200,1200,20
1002,2K kapci clear,Body refinishers,28,1083,1050,1050,1050,20
1001,2k Kapci Met,PAINT,28,2600,2300,2300,2300,20
209,E.Ind Black.Add,PAINT,28,200,180,180,180,6
210,E.Black 500 .Add,PAINT,28,160,150,150,150,6
221,Ind black.E.SS,PAINT,28,210,200,200,200,6
222,Ind Black.E.SS 500ml,PAINT,28,110,100,100,100,6
223,Ind Black.E SS.200ml,PAINT,28,50,45,45,45,20
224,Syn Matt Black,PAINT,28,190,185,185,185,18
225,Syn Matt Black 500ml SS,PAINT,28,100,95,95,95,-380
226,Syn Matt black 200ml SS,PAINT,28,50,45,45,45,-380
1004,Lactico Clear (5800),Body refinishers,28,750,700,700,700,12
1005,2k Hardner,Body refinishers,28,1000,900,900,900,20
500,2K Thinner,Body refinishers,18,400,380,380,380,20
501,NC Thinner 003,Body refinishers,28,160,150,150,150,20
502,NC Thinner 003 (5L),Body refinishers,28,840,800,800,800,6
503,NC Thinner 003 (20L),Body refinishers,28,3200,3000,3000,3000,5
504,DKlac 143 (1L),Body refinishers,28,165,160,160,160,20
505,DKlac 143 (20L),Body refinishers,28,3300,3200,3200,3200,3
506,DKlac 4X (1L),Body refinishers,28,140,130,130,130,15
507,DKlac 4X (3L),Body refinishers,28,390,380,380,380,6
508,DKlac 4x (5L),Body refinishers,28,660,650,650,650,6
509,DKlac 4x (20L),Body refinishers,28,2750,2600,2600,2600,3
510,NC Thinner D13,Body refinishers,28,140,130,130,130,10
511,NC Thinner A13,Body refinishers,28,130,120,120,120,10
512,PU Thinner ,Body refinishers,28,300,280,280,280,10
710,PU  G.YELLOW & HARDNER,PAINT,28,1050,950,950,950,8
600,W.P.RED,Body refinishers,28,30,25,25,25,350
