suppliername,invoiceno,taxtype,gst(y/n),itemname,qty,cp,mrp,sp,framemultipletype(y/n),frametype,framecolour,framesize,framemodel
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,5590,5590,N,SHELL,NONE,NONE,VO5331
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,N,VOGUE,1,200,5990,5990,N,SHELL,NONE,NONE,VO5313
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,5090,5090,N,SHELL,NONE,NONE,VO2961
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CARRERA,1,200,7400,7400,N,SHELL,NONE,NONE,CA8800
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,7590,7590,N,SHELL SUPRA,NONE,NONE,RB4419
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,7590,7590,N,SHELL,NONE,NONE,RB7078
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,4990,4990,N,SHELL,NONE,NONE,VO5326
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,10190,10190,N,SHELL,NONE,NONE,RB8905
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,5990,5990,N,METAL SUPRA,NONE,NONE,VO4120
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,5490,5490,N,SHELL,NONE,NONE,VO5223
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,4390,4390,N,SUPRA,NONE,NONE,VO4053
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,5490,5490,N,SHELL,NONE,NONE,VO5332
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,4990,4990,N,SHELL,NONE,NONE,VO5268
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,6090,6090,N,SHELL,NONE,NONE,VO5314
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,AZZARO,1,200,6690,6690,N,SHELL,NONE,NONE,A250379
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,3790,3790,N,SHELL,NONE,NONE,VO5011
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,5990,5990,N,SHELL,NONE,NONE,VO4103
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,6090,6090,N,SHELL,NONE,NONE,VO5314
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,3490,3490,N,SHELL,NONE,NONE,VO2925
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,3790,3790,N,SUPRA,NONE,NONE,VO4003
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,8090,8090,N,SHELL,NONE,NONE,RB5279
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,5190,5190,N,SUPRA,NONE,NONE,RB64431
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,8090,8090,N,SHELL,NONE,NONE,RB2185
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,8490,8490,N,SHELL,NONE,NONE,RB5369
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,4190,4190,N,RIMLESS,NONE,NONE,RB64351
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,4690,4690,N,METAL FULL,NONE,NONE,RB63021
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,OAKLEY,1,200,6690,6690,N,SHELL,NONE,NONE,OX8146
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,OAKLEY,1,200,13390,13390,N,SUPRA,NONE,NONE,OX5140
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,OAKLEY,1,200,7690,7690,N,SUPRA,NONE,NONE,OX3218
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,OAKLEY,1,200,5790,5790,N,SHELL,NONE,NONE,OX8156
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,OAKLEY,1,200,11990,11990,N,METAL FULL,NONE,NONE,OX3184
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,OAKLEY,1,200,9590,9590,N,SUPRA,NONE,NONE,OX5113
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,OAKLEY,1,200,6590,6590,N,SHELL,NONE,NONE,OX5137
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,OAKLEY,1,200,6590,6590,N,SHELL,NONE,NONE,OX8046
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,AZZARO,1,200,7000,7000,N,SUPRA,NONE,NONE,AZ50378
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,AZZARO,1,200,7550,7550,N,SHELL,NONE,NONE,AZ50222
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,AZZARO,2,200,8150,8150,N,SUPRA,NONE,NONE,AZ50401
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,GOTTI,1,200,9300,9300,N,METAL FULL,NONE,NONE,JOPLIN140
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,GOTTI,1,200,9690,9690,N,METAL FULL,NONE,NONE,SHELA137
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,GOTTI,1,200,14300,14300,N,METAL FULL,NONE,NONE,OLAV140
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,GOTTI,1,200,9300,9300,N,METAL FULL,NONE,NONE,JACKLIN140
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,GOTTI,1,200,9490,9490,N,METAL FULL,NONE,NONE,SANDY137
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CHARMANT,1,200,7100,7100,N,METAL FULL,NONE,NONE,CH16034
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CHARMANT,1,200,7100,7100,N,SUPRA,NONE,NONE,CH16113
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CHARMANT,1,200,7100,7100,N,SUPRA,NONE,NONE,CH16125
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CHARMANT,1,200,7100,7100,N,SUPRA,NONE,NONE,CH16037
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CARRERA,1,200,7900,7900,N,METAL FULL,NONE,NONE,8848
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CARRERA,1,200,7900,7900,N,METAL FULL,NONE,NONE,210
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,WALNUT,1,200,3250,3250,N,SUPRA,NONE,NONE,SA1111
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,MOLESKINE,1,200,6990,6990,N,METAL FULL,NONE,NONE,MO2103
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,OROMA,3,200,850,850,N,RIMLESS,NONE,NONE,R0004
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RE-EYE,1,200,1250,1250,N,RIMLESS,NONE,NONE,3002
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SUN FIRE,4,200,990,990,N,RIMLESS,NONE,NONE,S005
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SUN FIRE,1,200,950,950,N,RIMLESS,NONE,NONE,99904
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,FIRST STREET,10,200,1250,1250,N,RIMLESS,NONE,NONE,78103
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SMALLISION,3,200,850,850,N,RIMLESS,NONE,NONE,6304
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,IMPTUS EYEWEAR,3,200,3200,3200,N,RIMLESS,NONE,NONE,9009
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,MORANGIE,5,200,1950,1950,N,RIMLESS,NONE,NONE,1626
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,COOPER PLUS,3,200,3190,3190,N,RIMLESS,NONE,NONE,1008
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,TOM HARDY,3,200,1250,1250,N,RIMLESS,NONE,NONE,63102
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,MARABOOS,1,200,1250,1250,N,RIMLESS,NONE,NONE,MB001
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,MAGIC BOSS,2,200,1250,1250,N,RIMLESS,NONE,NONE,32014
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SUNFIRE,1,200,1250,1250,N,RIMLESS,NONE,NONE,S3468
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,OXSIVER,1,200,910,910,N,RIMLESS,NONE,NONE,R0004
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VEVYL,1,200,1050,1050,N,RIMLESS,NONE,NONE,9013
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,AXIS,1,200,950,950,N,RIMLESS,NONE,NONE,E141
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CHOY,1,200,850,850,N,RIMLESS,NONE,NONE,8003
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOICE,13,200,550,550,N,SUPRA,NONE,NONE,9372
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CENTER CLUB,4,200,890,890,N,METAL FULL,NONE,NONE,3265
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,TOM HARDY,2,200,1180,1180,N,SUPRA,NONE,NONE,98183
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,ANTVSOE,5,200,810,810,N,SUPRA,NONE,NONE,8001
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,EXCELLENT,2,200,1050,1050,N,SUPRA,NONE,NONE,EX001
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,YOURNURE,4,200,850,850,N,METAL FULL,NONE,NONE,8
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,EYEQUE,50,200,350,350,N,METAL FULL,NONE,NONE,5002
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,AURA,10,200,790,790,N,METAL SUPRA,NONE,NONE,8900
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RESEARCH,1,200,1150,1150,N,METAL FULL,NONE,NONE,75B6
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,STRUTERN,3,200,550,550,N,SUPRA,NONE,NONE,69004
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,FREEDOM,1,200,550,550,N,SUPRA,NONE,NONE,FR002
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,KNIGHT HORSE,7,200,850,850,N,SUPRA,NONE,NONE,1013
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SMALL -I,8,200,840,840,N,SHELL,NONE,NONE,1053
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,LAMY,7,200,1110,1110,N,SHELL,NONE,NONE,M 1020
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,LAMY,1,200,840,840,N,SHELL,NONE,NONE,M 3004
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPECSI KIDS,1,200,1150,1150,N,SHELL,NONE,NONE,2227
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,EIBACH,5,200,680,680,N,SUPRA,NONE,NONE,8002
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,GOLDEN,2,200,650,650,N,SUPRA,NONE,NONE,75009
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VENUS,1,200,740,740,N,SUPRA,NONE,NONE,D909
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,UIM,1,200,1050,1050,N,SUPRA,NONE,NONE,8004
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPARKLE,3,200,750,750,N,SUPRA,NONE,NONE,9745
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPECSI ,7,200,840,840,N,SHELL,NONE,NONE,M 2223
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPECSI,3,200,950,950,N,SHELL,NONE,NONE,M 2227
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPECSI,5,200,1150,1150,N,SHELL,NONE,NONE,S 204
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,ADIDAS,1,200,10150,10150,N,SHELL,NONE,NONE,ADK0010
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,JOHNNY MILLER,14,200,1950,1950,N,SUPRA,NONE,NONE,JM 9104
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CAADY,4,200,1250,1250,N,METAL FULL,NONE,NONE,M 001
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPECSI,2,200,1250,1250,N,SHELL,NONE,NONE,MOD 1143
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPECSI,1,200,1650,1650,N,SHELL,NONE,NONE,MOD 6104
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,EYEQUE,5,200,350,350,N, METAL FULL,NONE,NONE,M 5002
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,EYEQUE,2,200,550,550,N,METAL FULL,NONE,NONE,M 5013
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RECORDS,1,200,950,950,N,SHELL,NONE,NONE,10009
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,MORANGIE,7,200,2180,2180,N,METAL SUPRA,NONE,NONE,MR 1632
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,BLSY,16,200,2150,2150,N,SHELL,NONE,NONE,1112
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPECSI,4,200,1180,1180,N,SHELL,NONE,NONE,MOD 3007
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CRAFT,2,200,2150,2150,N,SHELL,NONE,NONE,CR3302
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,KORE,2,200,2850,2850,N,SHELL,NONE,NONE,3214
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPECSI,3,200,1680,1680,N,SHELL,NONE,NONE,MOD 119
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PAGE 4,1,200,1580,1580,N,SHELL,NONE,NONE,1057
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPECSI,1,200,1050,1050,N,SHELL,NONE,NONE,M 5051
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPECSI,1,200,1050,1050,N,SHELL,NONE,NONE,8006
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CORAL REEF,1,200,1950,1950,N,SHELL,NONE,NONE,1246
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPECSI,1,200,1250,1250,N,SHELL,NONE,NONE,1139
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,K AND D,1,200,2500,2500,N,SHELL,NONE,NONE,UF 175
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPECSI,1,200,1550,1550,N,SHELL,NONE,NONE,S 118
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,ROAR,8,200,1850,1850,N,SHELL,NONE,NONE,7862
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CALABRIA,1,200,950,950,N,SHELL,NONE,NONE,1416
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,JOHNNY MILLER,1,200,1950,1950,N,SHELL,NONE,NONE,1140
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,EYE MUSIC,1,200,750,750,N,SHELL,NONE,NONE,E002
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CANNA,2,200,1450,1450,N,SHELL,NONE,NONE,2204
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,JOHNNY MILLER,1,200,1950,1950,N,SHELL,NONE,NONE,1116
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,COOPER PLUS,1,200,5150,5150,N,SHELL,NONE,NONE,8040
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,MORANGIE,2,200,1950,1950,N,SHELL,NONE,NONE,5154
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,EYEQUE,7,200,550,550,N,METAL,NONE,NONE,5150
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,DESERVE,1,200,950,950,N,SUPRA,NONE,NONE,94310
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,NEWSMART,1,200,1200,1200,N,METAL FULL,NONE,NONE,88803
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FUSION,2,200,1840,1840,N,SHELL,NONE,NONE,PMF
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FUSION,2,200,2600,2600,N,SHELL,NONE,NONE,JANNE
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FUSION,3,200,2510,2510,N,SHELL,NONE,NONE,SO SWEET
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FUSION,3,200,2650,2650,N,SHELL,NONE,NONE,JENETTE
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FUSION,1,200,2650,2650,N,SHELL,NONE,NONE,HEXGRAM
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FUSION,2,200,2600,2600,N,SHELL,NONE,NONE,PICKME
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FUSION,6,200,2600,2600,N,SHELL,NONE,NONE,JESPER
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FUSION,6,200,2850,2850,N,SHELL,NONE,NONE,OUTER EDGE
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FUSION,4,200,2750,2750,N,SHELL,NONE,NONE,TOPLINE
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FUSION,4,200,2950,2950,N,SHELL,NONE,NONE,UNPLUG
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FUSION,3,200,1840,1840,N,SHELL,NONE,NONE,MOVE ON
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FLEXIBLE,4,200,2950,2950,N,SHELL,NONE,NONE,ZANE
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FLEXIBLE,5,200,2450,2450,N,SHELL,NONE,NONE,ZIVA
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PACEX,7,200,1350,1350,N,SHELL,NONE,NONE,2602
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FLEXIBLE,6,200,2510,2510,N,SHELL,NONE,NONE,SKATE
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FLEXIBLE,2,200,2400,2400,N,SHELL,NONE,NONE,ROBO
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT ECOFRIENDLY,8,200,1950,1950,N,SHELL,NONE,NONE,HAPER
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT ECOFRIENDLY,2,200,1880,1880,N,SHELL,NONE,NONE,9019
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FLEXIBLE,3,200,2550,2550,N,SHELL,NONE,NONE,NAVY
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FLEXIBLE,1,200,2450,2450,N,SHELL,NONE,NONE,BLUE ICY
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT ECOFRIENDLY,12,200,1850,1850,N,SHELL,NONE,NONE,9021
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT ECOFRIENDLY,2,200,1990,1990,N,SHELL,NONE,NONE,ZOE 3
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FLEXIBLE,8,200,2950,2950,N,SHELL,NONE,NONE,507
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FLEXIBLE,3,200,2510,2510,N,SHELL,NONE,NONE,SQUASH
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FLEXIBLE,3,200,2700,2700,N,SHELL,NONE,NONE,ZINI
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FLEXIBLE,1,200,2700,2700,N,SHELL,NONE,NONE,OBI
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT AIRY,16,200,2450,2450,N,SHELL,NONE,NONE,208
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,TEEN PLUS,10,200,3200,3200,N,SHELL,NONE,NONE,3001
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT ECOFRIENDLY,2,200,1880,1880,N,SHELL,NONE,NONE,9019
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT TIKFIT,14,200,2290,2290,N,SHELL,NONE,NONE,321TF
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT ECOFRIENDLY,6,200,1150,1150,N,SHELL SUPRA,NONE,NONE,9013
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT ECOFRIENDLY,9,200,1850,1850,N,SHELL,NONE,NONE,9007
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,ROTINO,1,200,950,950,N,SHELL,NONE,NONE,111
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT ECOFRIENDLY,2,200,1990,1990,N,SHELL,NONE,NONE,9006
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPECSI,5,200,1550,1550,N,SHELL,NONE,NONE,S114
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,FLOWER,8,200,980,980,N,SHELL,NONE,NONE,1
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT ECOFRIENDLY,4,200,1850,1850,N,SHELL,NONE,NONE,9018
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,MEOW,1,200,1450,1450,N,SHELL,NONE,NONE,2756
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT AIRY,7,200,1990,1990,N,SHELL,NONE,NONE,104
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PACEX,1,200,1350,1350,N,SHELL,NONE,NONE,2603
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FUSION,8,200,1850,1850,N,SHELL,NONE,NONE,OFF BEAT
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT ECOFRIENDLY,6,200,1850,1850,N,SHELL,NONE,NONE,HANG ON
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT-BLUEBLOCK,3,200,1650,1650,N,SHELL,NONE,NONE,BB002
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT TIKFIT,4,200,2290,2290,N,SHELL,NONE,NONE,324
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT TIKFIT,4,200,2290,2290,N,SHELL,NONE,NONE,321
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,JACKBABY,6,200,950,950,N,SHELL,NONE,NONE,9430
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FLEXIBLE,8,200,1850,1850,N,SHELL,NONE,NONE,TUCKER
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FLEXIBLE,2,200,1650,1650,N,SHELL,NONE,NONE,RESO
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT FLEXIBLE,7,200,1950,1950,N,SHELL,NONE,NONE,OXY
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SMALL I,1,200,1050,1050,N,SHELL,NONE,NONE,1015
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,EYE 5,1,200,950,950,N,SHELL,NONE,NONE,308
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,GUY LAROCHE,1,200,6380,6380,N,SHELL SUPRA,NONE,NONE,GL144
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SPARTAN,1,200,3350,3350,N,SUPRA,NONE,NONE,SP145
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,GUY LAROCHE,1,200,8100,8100,N,SUPRA,NONE,NONE,GL174
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,GUY LAROCHE,1,200,6650,6650,N,SUPRA,NONE,NONE,GL178
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,K AND D,4,200,3530,3530,N,METAL FULL,NONE,NONE,25220
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,K AND D,1,200,3530,3530,N,SUPRA,NONE,NONE,25181
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SILLOTTI,2,200,1250,1250,N,SHELL,NONE,NONE,A8442
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,BLUE CROSS,1,200,1150,1150,N,SHELL,NONE,NONE,1571
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,PITTMITT ECOFRIENDLY,4,200,1950,1950,N,SHELL,NONE,NONE,HARPER
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,MAGIC SPOT,2,200,850,850,N,SHELL,NONE,NONE,88002
